,year,quarter,ent_code,ent_nombre,pob_total,pob_hombres_total,pob_mujeres_total,pet_hombres_15mas,pet_mujeres_15mas,pea_hombres,pea_mujeres,ing_prom_mes_total,ing_prom_hora_total,periodo
0,2018,1,1,Aguascalientes,,,,,,,,,,2018-T1
1,2018,1,2,Baja California,,,,,,,,,,2018-T1
2,2018,1,3,Baja California Sur,,,,,,,,,,2018-T1
3,2018,1,4,Campeche,,,,,,,,,,2018-T1
4,2018,1,5,Coahuila,,,,,,,,,,2018-T1
5,2018,1,6,Colima,,,,,,,,,,2018-T1
6,2018,1,7,Chiapas,,,,,,,,,,2018-T1
7,2018,1,8,Chihuahua,,,,,,,,,,2018-T1
8,2018,1,9,Ciudad de México,,,,,,,,,,2018-T1
9,2018,1,10,Durango,,,,,,,,,,2018-T1
10,2018,1,11,Guanajuato,,,,,,,,,,2018-T1
11,2018,1,12,Guerrero,,,,,,,,,,2018-T1
12,2018,1,13,Hidalgo,,,,,,,,,,2018-T1
13,2018,1,14,Jalisco,,,,,,,,,,2018-T1
14,2018,1,15,México,,,,,,,,,,2018-T1
15,2018,1,16,Michoacán,,,,,,,,,,2018-T1
16,2018,1,17,Morelos,,,,,,,,,,2018-T1
17,2018,1,18,Nayarit,,,,,,,,,,2018-T1
18,2018,1,19,Nuevo León,,,,,,,,,,2018-T1
19,2018,1,20,Oaxaca,,,,,,,,,,2018-T1
20,2018,1,21,Puebla,,,,,,,,,,2018-T1
21,2018,1,22,Querétaro,,,,,,,,,,2018-T1
22,2018,1,23,Quintana Roo,,,,,,,,,,2018-T1
23,2018,1,24,San Luis Potosí,,,,,,,,,,2018-T1
24,2018,1,25,Sinaloa,,,,,,,,,,2018-T1
25,2018,1,26,Sonora,,,,,,,,,,2018-T1
26,2018,1,27,Tabasco,,,,,,,,,,2018-T1
27,2018,1,28,Tamaulipas,,,,,,,,,,2018-T1
28,2018,1,29,Tlaxcala,,,,,,,,,,2018-T1
29,2018,1,30,Veracruz,,,,,,,,,,2018-T1
30,2018,1,31,Yucatán,,,,,,,,,,2018-T1
31,2018,1,32,Zacatecas,,,,,,,,,,2018-T1
32,2018,2,1,Aguascalientes,,,,,,,,,,2018-T2
33,2018,2,2,Baja California,,,,,,,,,,2018-T2
34,2018,2,3,Baja California Sur,,,,,,,,,,2018-T2
35,2018,2,4,Campeche,,,,,,,,,,2018-T2
36,2018,2,5,Coahuila,,,,,,,,,,2018-T2
37,2018,2,6,Colima,,,,,,,,,,2018-T2
38,2018,2,7,Chiapas,,,,,,,,,,2018-T2
39,2018,2,8,Chihuahua,,,,,,,,,,2018-T2
40,2018,2,9,Ciudad de México,,,,,,,,,,2018-T2
41,2018,2,10,Durango,,,,,,,,,,2018-T2
42,2018,2,11,Guanajuato,,,,,,,,,,2018-T2
43,2018,2,12,Guerrero,,,,,,,,,,2018-T2
44,2018,2,13,Hidalgo,,,,,,,,,,2018-T2
45,2018,2,14,Jalisco,,,,,,,,,,2018-T2
46,2018,2,15,México,,,,,,,,,,2018-T2
47,2018,2,16,Michoacán,,,,,,,,,,2018-T2
48,2018,2,17,Morelos,,,,,,,,,,2018-T2
49,2018,2,18,Nayarit,,,,,,,,,,2018-T2
50,2018,2,19,Nuevo León,,,,,,,,,,2018-T2
51,2018,2,20,Oaxaca,,,,,,,,,,2018-T2
52,2018,2,21,Puebla,,,,,,,,,,2018-T2
53,2018,2,22,Querétaro,,,,,,,,,,2018-T2
54,2018,2,23,Quintana Roo,,,,,,,,,,2018-T2
55,2018,2,24,San Luis Potosí,,,,,,,,,,2018-T2
56,2018,2,25,Sinaloa,,,,,,,,,,2018-T2
57,2018,2,26,Sonora,,,,,,,,,,2018-T2
58,2018,2,27,Tabasco,,,,,,,,,,2018-T2
59,2018,2,28,Tamaulipas,,,,,,,,,,2018-T2
60,2018,2,29,Tlaxcala,,,,,,,,,,2018-T2
61,2018,2,30,Veracruz,,,,,,,,,,2018-T2
62,2018,2,31,Yucatán,,,,,,,,,,2018-T2
63,2018,2,32,Zacatecas,,,,,,,,,,2018-T2
64,2018,3,1,Aguascalientes,,,,,,,,,,2018-T3
65,2018,3,2,Baja California,,,,,,,,,,2018-T3
66,2018,3,3,Baja California Sur,,,,,,,,,,2018-T3
67,2018,3,4,Campeche,,,,,,,,,,2018-T3
68,2018,3,5,Coahuila,,,,,,,,,,2018-T3
69,2018,3,6,Colima,,,,,,,,,,2018-T3
70,2018,3,7,Chiapas,,,,,,,,,,2018-T3
71,2018,3,8,Chihuahua,,,,,,,,,,2018-T3
72,2018,3,9,Ciudad de México,,,,,,,,,,2018-T3
73,2018,3,10,Durango,,,,,,,,,,2018-T3
74,2018,3,11,Guanajuato,,,,,,,,,,2018-T3
75,2018,3,12,Guerrero,,,,,,,,,,2018-T3
76,2018,3,13,Hidalgo,,,,,,,,,,2018-T3
77,2018,3,14,Jalisco,,,,,,,,,,2018-T3
78,2018,3,15,México,,,,,,,,,,2018-T3
79,2018,3,16,Michoacán,,,,,,,,,,2018-T3
80,2018,3,17,Morelos,,,,,,,,,,2018-T3
81,2018,3,18,Nayarit,,,,,,,,,,2018-T3
82,2018,3,19,Nuevo León,,,,,,,,,,2018-T3
83,2018,3,20,Oaxaca,,,,,,,,,,2018-T3
84,2018,3,21,Puebla,,,,,,,,,,2018-T3
85,2018,3,22,Querétaro,,,,,,,,,,2018-T3
86,2018,3,23,Quintana Roo,,,,,,,,,,2018-T3
87,2018,3,24,San Luis Potosí,,,,,,,,,,2018-T3
88,2018,3,25,Sinaloa,,,,,,,,,,2018-T3
89,2018,3,26,Sonora,,,,,,,,,,2018-T3
90,2018,3,27,Tabasco,,,,,,,,,,2018-T3
91,2018,3,28,Tamaulipas,,,,,,,,,,2018-T3
92,2018,3,29,Tlaxcala,,,,,,,,,,2018-T3
93,2018,3,30,Veracruz,,,,,,,,,,2018-T3
94,2018,3,31,Yucatán,,,,,,,,,,2018-T3
95,2018,3,32,Zacatecas,,,,,,,,,,2018-T3
96,2018,4,1,Aguascalientes,,,,,,,,,,2018-T4
97,2018,4,2,Baja California,,,,,,,,,,2018-T4
98,2018,4,3,Baja California Sur,,,,,,,,,,2018-T4
99,2018,4,4,Campeche,,,,,,,,,,2018-T4
100,2018,4,5,Coahuila,,,,,,,,,,2018-T4
101,2018,4,6,Colima,,,,,,,,,,2018-T4
102,2018,4,7,Chiapas,,,,,,,,,,2018-T4
103,2018,4,8,Chihuahua,,,,,,,,,,2018-T4
104,2018,4,9,Ciudad de México,,,,,,,,,,2018-T4
105,2018,4,10,Durango,,,,,,,,,,2018-T4
106,2018,4,11,Guanajuato,,,,,,,,,,2018-T4
107,2018,4,12,Guerrero,,,,,,,,,,2018-T4
108,2018,4,13,Hidalgo,,,,,,,,,,2018-T4
109,2018,4,14,Jalisco,,,,,,,,,,2018-T4
110,2018,4,15,México,,,,,,,,,,2018-T4
111,2018,4,16,Michoacán,,,,,,,,,,2018-T4
112,2018,4,17,Morelos,,,,,,,,,,2018-T4
113,2018,4,18,Nayarit,,,,,,,,,,2018-T4
114,2018,4,19,Nuevo León,,,,,,,,,,2018-T4
115,2018,4,20,Oaxaca,,,,,,,,,,2018-T4
116,2018,4,21,Puebla,,,,,,,,,,2018-T4
117,2018,4,22,Querétaro,,,,,,,,,,2018-T4
118,2018,4,23,Quintana Roo,,,,,,,,,,2018-T4
119,2018,4,24,San Luis Potosí,,,,,,,,,,2018-T4
120,2018,4,25,Sinaloa,,,,,,,,,,2018-T4
121,2018,4,26,Sonora,,,,,,,,,,2018-T4
122,2018,4,27,Tabasco,,,,,,,,,,2018-T4
123,2018,4,28,Tamaulipas,,,,,,,,,,2018-T4
